ad_id,reporting_start,reporting_end,campaign_id,fb_campaign_id,age,gender,interest1,interest2,interest3,impressions,clicks,spent,total_conversion,approved_conversion,CTR,CPC,ROI
708746,17/08/2017,17/08/2017,916.0,103916.0,30-34,M,15,17,17,7350,1,1.429999948,2,1,0.013605442176870748,1.429999948,69.93007247298165
708749,17/08/2017,17/08/2017,916.0,103917.0,30-34,M,16,19,21,17861,2,1.820000023,2,0,0.011197581322434353,0.9100000115,0.0
708771,17/08/2017,17/08/2017,916.0,103920.0,30-34,M,20,25,22,693,0,0.0,1,0,0.0,0.0,0.0
708815,30/08/2017,30/08/2017,916.0,103928.0,30-34,M,28,32,32,4259,1,1.25,1,0,0.023479690068091103,1.25,0.0
708818,17/08/2017,17/08/2017,916.0,103928.0,30-34,M,28,33,32,4133,1,1.289999962,1,1,0.024195499637067505,1.289999962,77.51938212847793
708820,17/08/2017,17/08/2017,916.0,103929.0,30-34,M,29,30,30,1915,0,0.0,1,1,0.0,0.0,0.0
708889,17/08/2017,17/08/2017,916.0,103940.0,30-34,M,15,16,17,15615,3,4.769999981,1,0,0.01921229586935639,1.5899999936666667,0.0
708895,17/08/2017,17/08/2017,916.0,103941.0,30-34,M,16,20,18,10951,1,1.269999981,1,1,0.009131586156515388,1.269999981,78.74015865831734
708953,17/08/2017,17/08/2017,916.0,103951.0,30-34,M,27,31,31,2355,1,1.5,1,0,0.042462845010615716,1.5,0.0
708958,30/08/2017,30/08/2017,916.0,103952.0,30-34,M,28,32,31,9502,3,3.159999967,1,0,0.03157230056830141,1.0533333223333334,0.0
708979,30/08/2017,30/08/2017,916.0,103955.0,30-34,M,31,37,34,1224,0,0.0,1,0,0.0,0.0,0.0
709023,29/08/2017,29/08/2017,916.0,103962.0,30-34,M,7,8,8,735,0,0.0,1,0,0.0,0.0,0.0
709038,29/08/2017,29/08/2017,916.0,103965.0,30-34,M,16,20,22,5117,0,0.0,1,0,0.0,0.0,0.0
709040,29/08/2017,29/08/2017,916.0,103965.0,30-34,M,16,19,21,5120,0,0.0,1,0,0.0,0.0,0.0
709059,30/08/2017,30/08/2017,916.0,103968.0,30-34,M,20,26,23,14669,7,10.28000021,1,1,0.0477196809598473,1.4685714585714287,9.727626260427867
709105,30/08/2017,30/08/2017,916.0,103976.0,30-34,M,28,30,32,1241,0,0.0,1,1,0.0,0.0,0.0
709115,30/08/2017,30/08/2017,916.0,103978.0,30-34,M,30,34,31,2305,1,0.569999993,1,0,0.04338394793926247,0.569999993,0.0
709124,30/08/2017,30/08/2017,916.0,103979.0,30-34,M,31,34,33,1024,0,0.0,1,1,0.0,0.0,0.0
709179,30/08/2017,30/08/2017,916.0,103988.0,35-39,M,15,16,17,4627,1,1.690000057,1,0,0.02161227577263886,1.690000057,0.0
709183,30/08/2017,30/08/2017,916.0,103989.0,35-39,M,16,20,22,21026,4,4.630000114,2,1,0.019024065442785124,1.1575000285,21.59827160643564
709320,17/08/2017,17/08/2017,916.0,104012.0,35-39,M,15,21,20,1422,0,0.0,1,1,0.0,0.0,0.0
709323,17/08/2017,17/08/2017,916.0,104012.0,35-39,M,15,17,19,7132,2,2.609999895,1,0,0.028042624789680313,1.3049999475,0.0
709326,18/08/2017,18/08/2017,916.0,104013.0,35-39,M,16,22,22,12190,2,3.049999952,1,0,0.016406890894175553,1.524999976,0.0
709327,18/08/2017,18/08/2017,916.0,104013.0,35-39,M,16,22,20,12193,2,3.059999943,1,1,0.01640285409661281,1.5299999715,32.679739170831745
